#{"t_start": 1763289067.4195044, "env_id": "None"}
r,l,t
163.476812,91,4.581134
208.033885,91,7.240729
144.470013,91,9.894322
173.332764,91,12.322865
237.425044,91,14.466344
245.588771,91,16.468791
125.041945,91,19.585488
228.638,91,21.747237
176.900513,91,24.019745
124.038796,91,27.160447
174.630551,91,29.604831
31.109359,91,32.079866
194.176627,91,35.055531
125.12051,91,37.807145
181.553311,91,40.766807
25.96155,91,45.661901
186.636593,91,48.334498
122.959655,91,51.364175
128.083053,91,54.883962
-9.677006,91,78.385215
51.743849,91,81.653944
-45.420796,91,86.009917
-35.435122,91,90.169847
34.345633,91,94.638847
11.933967,91,99.75699
-127.466673,91,103.56084
31.291526,91,106.261444
20.518433,91,109.979275
30.754744,91,114.2322
13.611215,91,116.864788
-14.990258,91,121.21276
210.645972,91,124.326456
-146.70677,91,129.04251
89.236252,91,131.753115
-139.75677,91,136.398153
9.66297,91,139.822919
-31.484248,91,143.408721
-138.405326,91,146.685453
182.552646,91,149.638112
-3.836418,91,171.559026
158.606869,91,174.505685
127.26982,91,177.913446
111.121947,91,181.519252
23.802616,91,185.617167
123.679914,91,189.223973
28.733088,91,192.979813
-8.657771,91,196.890691
-26.367793,91,201.739775
-82.575309,91,205.92571
15.676669,91,211.20589
140.170718,91,214.346591
18.808147,91,217.698341
-93.635928,91,221.806259
93.549635,91,225.74914
178.424123,91,228.502756
27.983396,91,232.54766
-77.554275,91,236.012433
107.823411,91,239.359181
180.118646,91,242.347849
-112.988243,91,264.154723
50.944194,91,267.269418
26.639016,91,270.67818
152.394219,91,273.80888
227.312476,91,276.771542
154.916808,91,280.617402
103.869578,91,284.015161
108.233814,91,287.491938
107.263292,91,290.94771
-24.185426,91,295.355695
121.977458,91,298.892486
-8.633875,91,303.945615
158.698646,91,307.444396
174.873337,91,310.736132
147.113829,91,314.136892
136.899221,91,317.145565
24.115575,91,322.929858
174.388646,91,326.057556
16.14062,91,330.171475
92.935152,91,333.887306
136.69813,91,356.72392
174.302646,91,359.90363
63.717292,91,362.401188
117.631361,91,365.770941
35.054156,91,369.468767
26.766769,91,374.71494
7.993731,91,379.126925
-32.560781,91,384.724176
-91.379988,91,388.481016
106.615302,91,392.233855
224.280238,91,395.394562
179.252646,91,398.552267
213.218377,91,401.555938
116.870843,91,404.922691
221.754671,91,408.05339
129.519289,91,410.992047
163.308472,91,415.005944
140.440439,91,418.328686
59.596711,91,422.650652
-20.660683,91,440.960744
2.268483,91,444.65657
97.285341,91,448.19136
112.789631,91,452.484319
164.019599,91,455.415974
-49.579069,91,460.176039
155.359191,91,463.973887
19.21699,91,469.676162
198.899066,91,472.964896
155.248646,91,476.34165
153.466492,91,479.632386
